メシウマスポット

タイトル,メモ,URL,タグ,コメント
藤田酒店,"美味しい立ち飲み
菜の花がうまかった",https://www.google.com/maps/place/%E8%97%A4%E7%94%B0%E9%85%92%E5%BA%97/data=!4m2!3m1!1s0x60188c06ad46aecb:0x664f565c5cb79dd,,
芊品香,"喫煙可能。
だいぶ味が良くなって美味しくなったと評判。",https://www.google.com/maps/place/%E8%8A%8A%E5%93%81%E9%A6%99/data=!4m2!3m1!1s0x60188d0208801b0f:0xbf21f70f0e461072,,
信州おさけ村,日本酒の種類が多く、野沢菜とフキノトウのつまみがうまい,https://www.google.com/maps/place/%E4%BF%A1%E5%B7%9E%E3%81%8A%E3%81%95%E3%81%91%E6%9D%91/data=!4m2!3m1!1s0x60188be9b6536139:0x802b9e3849d55dc2,,
嘉賓,,https://www.google.com/maps/place/%E5%98%89%EF%A9%A4/data=!4m2!3m1!1s0x60188c8ba74fe2e3:0x1d6bf040e77c2050,,
一歩 馬喰町店,"手羽唐がマジうまい。
喫煙可能。",https://www.google.com/maps/place/%E4%B8%80%E6%AD%A9+%E9%A6%AC%E5%96%B0%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x60188ead7b7f36a5:0x7132b36181c1b955,,
にこぼし,,https://www.google.com/maps/place/%E3%81%AB%E3%81%93%E3%81%BC%E3%81%97/data=!4m2!3m1!1s0x6018ef6f842cd783:0xb94d2975d26e552f,,
卯月 鶯谷,,https://www.google.com/maps/place/%E5%8D%AF%E6%9C%88+%E9%B6%AF%E8%B0%B7/data=!4m2!3m1!1s0x60188e8523abb0ed:0x4ee74c02356510d4,,
青山Ototo（青山おとと）,魚がうまい、昼はそこそこ安い,https://www.google.com/maps/place/%E9%9D%92%E5%B1%B1Ototo%EF%BC%88%E9%9D%92%E5%B1%B1%E3%81%8A%E3%81%A8%E3%81%A8%EF%BC%89/data=!4m2!3m1!1s0x60188d8fa9c4c17b:0x89d35ec5cd17588c,,
ごりちゃん,うまい焼肉,https://www.google.com/maps/place/%E3%81%94%E3%82%8A%E3%81%A1%E3%82%83%E3%82%93/data=!4m2!3m1!1s0x6018f51b7d123bd5:0x1b33036a69c379be,,
いなゑ食堂,,https://www.google.com/maps/place/%E3%81%84%E3%81%AA%E3%82%91%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x6000e35e91062beb:0x25f4f9fcd0f31e21,,
王将,"ベニがバイトしてた店。
いつ営業しなくなってもおかしくないので早めに行きたい。",https://www.google.com/maps/place/%E7%8E%8B%E5%B0%86/data=!4m2!3m1!1s0x60185f772654d253:0x7dce387ef89ebc5f,,
